Křestní jméno        Přijmení             Název objektu        Počet lidí Počet dní  Termín                    Datum rezervace Celková cena        
Enrique              Wingard              Obdulia              5          5          29.08.2021-03.09.2021     18.01.2020      11950,00 Kč         
Jacki                Gayer                Masako               1          7          12.12.2021-19.12.2021     04.01.2020      25739,00 Kč         
Alethia              Salzman              Ester                5          14         22.07.2021-05.08.2021     14.01.2020      29120,00 Kč         
Brice                Whitbeck             Adrienne             1          7          10.12.2021-17.12.2021     02.01.2020      38808,00 Kč         
Suzie                Ansell               Obdulia              12         14         26.07.2021-09.08.2021     25.01.2020      80304,00 Kč         
Thomasine            Buschman             Latarsha             3          7          13.12.2021-20.12.2021     05.01.2020      181062,00 Kč        
Jarod                Orozco               Missy                1          7          09.12.2021-16.12.2021     01.01.2020      223720,00 Kč        
Shalon               Berta                Jared                2          14         18.07.2021-01.08.2021     10.01.2020      324464,00 Kč        
Vernon               Birt                 Lucile               9          14         17.07.2021-31.07.2021     09.01.2020      348138,00 Kč        
Nanci                Vasconcellos         Carlo                1          14         28.07.2021-11.08.2021     27.01.2020      491582,00 Kč        
Rachal               Ulery                Katheryn             2          14         19.07.2021-02.08.2021     11.01.2020      671888,00 Kč        
Isis                 Corry                Devin                7          7          16.12.2021-23.12.2021     08.01.2020      677964,00 Kč        
John                 Sauro                Kena                 2          14         27.07.2021-10.08.2021     26.01.2020      756028,00 Kč        
Dante                Sieck                Kena                 6          5          30.08.2021-04.09.2021     19.01.2020      810030,00 Kč        
Jannette             Jeter                Cameron              2          14         20.07.2021-03.08.2021     12.01.2020      909496,00 Kč        
Morgan               Mitten               Margeret             4          5          02.09.2021-07.09.2021     22.01.2020      945040,00 Kč        
Luis                 Crose                Lonnie               5          7          14.12.2021-21.12.2021     06.01.2020      983080,00 Kč        
Kandis               Webber               Tyrone               12         5          01.09.2021-06.09.2021     21.01.2020      1070640,00 Kč       
Randal               Showalter            Alanna               8          14         21.07.2021-04.08.2021     13.01.2020      1117648,00 Kč       
Shawanna             Tatom                Torie                7          7          15.12.2021-22.12.2021     07.01.2020      1132439,00 Kč       
Yanira               Um                   Kymberly             7          5          27.08.2021-01.09.2021     23.01.2020      1182055,00 Kč       
Zenaida              Ducan                Nadine               12         5          28.08.2021-02.09.2021     24.01.2020      1215480,00 Kč       
Esther               Chester              Nadine               5          14         25.07.2021-08.08.2021     17.01.2020      1418060,00 Kč       
Shani                Lung                 Carlo                10         5          31.08.2021-05.09.2021     20.01.2020      1755650,00 Kč       
Marine               Beeler               Zoila                3          14         23.07.2021-06.08.2021     15.01.2020      2037756,00 Kč       
Burma                Ester                Sudie                8          7          11.12.2021-18.12.2021     03.01.2020      2170728,00 Kč       
Olga                 Mcmillan             Tyrone               12         14         29.07.2021-12.08.2021     28.01.2020      2997792,00 Kč       
Sharice              Waltman              Kymberly             9          14         24.07.2021-07.08.2021     16.01.2020      4255398,00 Kč       
Paulene              Pilkenton            Margeret             12         14         30.07.2021-13.08.2021     29.01.2020      7938336,00 Kč       
