Křestní jméno        Příjmení             Národnost            Věk
Albert               Einstein             americká             45 
Alethia              Salzman              islandská            70 
Brice                Whitbeck             americká             73 
Burma                Ester                finská               53 
Dante                Sieck                finská               86 
Enrique              Wingard              americká             55 
Esther               Chester              estonská             30 
Gerta                Miller               německá              72 
Gustav               Lehky                česká                18 
Chuan                Fion                 italská              23 
Isis                 Corry                kanadská             44 
Jacki                Gayer                česká                35 
Jakob                Nietzsche            holanská             18 
Jan                  Novák                česká                33 
Jannette             Jeter                česká                25 
Jarod                Orozco               estonská             52 
John                 Connor               americká             81 
John                 Sauro                kanadská             81 
Kandis               Webber               kanadská             87 
Luis                 Crose                islandská            84 
Marine               Beeler               egyptská             73 
Miro                 Malčik               slovenská            48 
Morgan               Mitten               česká                69 
Nanci                Vasconcellos         estonská             84 
Olga                 Mcmillan             americká             87 
Paulene              Pilkenton            kanadská             74 
Pierre               Fleur                francouzská          53 
Rachal               Ulery                finská               84 
Randal               Showalter            grónská              38 
Shalon               Berta                americká             54 
Shani                Lung                 česká                20 
Sharice              Waltman              kanadská             36 
Shawanna             Tatom                egyptská             76 
Suzie                Ansell               egyptská             78 
Thomasine            Buschman             grónská              86 
Vernon               Birt                 estonská             64 
Yanira               Um                   grónská              72 
zenaida              ducan                islandská            75 
