Křestní jméno        Příjmení             Národnost            Věk
Suzie                Ansell               egyptská             78 
Marine               Beeler               egyptská             73 
Shalon               Berta                americká             54 
Vernon               Birt                 estonská             64 
Thomasine            Buschman             grónská              86 
Isis                 Corry                kanadská             44 
Luis                 Crose                islandská            84 
Zenaida              Ducan                islandská            75 
Burma                Ester                finská               53 
Jacki                Gayer                česká                35 
Esther               Chester              estonská             30 
Jannette             Jeter                česká                25 
Shani                Lung                 česká                20 
Olga                 Mcmillan             americká             87 
Morgan               Mitten               česká                69 
Jarod                Orozco               estonská             52 
Paulene              Pilkenton            kanadská             74 
Alethia              Salzman              islandská            70 
John                 Sauro                kanadská             81 
Randal               Showalter            grónská              38 
Dante                Sieck                finská               86 
Shawanna             Tatom                egyptská             76 
Rachal               Ulery                finská               84 
Yanira               Um                   grónská              72 
Nanci                Vasconcellos         estonská             84 
Sharice              Waltman              kanadská             36 
Kandis               Webber               kanadská             87 
Brice                Whitbeck             americká             73 
Enrique              Wingard              americká             55 
